id,ticker,price,volatility,drift
0,AAPL,142.240005,0.044289,0.001091
1,KLXI,62.990002,0.014454,0.000338
2,MEG,47.18,0.029136,0.001296
3,FORM,23.809999,0.022035,0.000266
4,CBL,26.43,0.022429,0.000264
5,NWN,48.02,0.012856,0.000177
6,LGI,15.045,0.010609,2.6e-05
7,FLXS,15.04,0.023057,0.000353
8,BUI,21.655001,0.009303,5.8e-05
9,VFC,28.040001,0.014447,0.000329
10,HVT,30.73,0.020843,0.00041
11,ICL,8.25,0.020903,0.000279
12,ATEC,9.78,0.036317,0.000373
13,JFEEF,10.8,0.017273,-2.7e-05
14,BEAT,5.7599,0.058163,0.00181
15,FBIZ,37.450001,0.018646,0.000311
16,JEQ,5.57,0.013991,6.6e-05
17,CUK,8.05,0.020766,0.000198
18,BSRR,22.0,0.025184,0.000468
19,XOM,105.330002,0.020187,0.000279
20,KREVF,0.595,0.035786,0.000604
21,HSON,23.719999,0.028786,0.000356
22,PEB,15.52,0.016436,9.6e-05
23,EVOK,1.75,0.054046,0.000526
24,CCGY,0.015,0.150054,0.01061
25,STNG,54.709999,0.023479,0.000143
26,NWBO,1.0,0.079841,0.002515
27,MAA,160.854996,0.017486,0.000223
28,SAN,2.91,0.016232,0.000109
29,DSWL,3.11,0.023429,0.000251
30,OFIX,20.209999,0.023026,0.000302
31,III,4.92,0.024625,0.000253
32,LXP,10.52,0.017866,0.000168
33,TPZ,13.0,0.012826,1.8e-05
34,IBP,87.68,0.021131,0.000665
35,TARO,29.77,0.027009,0.000641
36,IFNNY,32.680099,0.023178,0.000207
37,LYB,81.629997,0.019932,0.000301
38,FRT,107.260002,0.019469,0.000258
39,KLPEF,23.700001,0.01928,0.000119
40,MGNX,6.41,0.037479,0.000417
41,OTEX,28.705,0.025669,0.00041
42,DSNKY,31.879999,0.016912,0.000365
43,TBK,56.060001,0.018917,0.000554
44,CIF,1.85,0.01331,-9e-06
45,BCOR,23.620001,0.031767,0.000481
46,PGH,0.7335,0.024309,-0.000346
47,MAANF,0.205,0.070416,0.002498
48,ZIJMF,1.38,0.035958,0.00069
49,LNVGY,16.059999,0.02563,0.00052
50,IRM,54.380001,0.023273,0.000378
51,PNW,77.910004,0.013521,0.000119
52,PBT,22.349899,0.019109,0.000183
53,THLEF,128.600006,0.01568,0.000187
54,RRTS,1.62,0.058222,0.000849
55,HMNY,0.0105,0.088299,0.002524
56,THG,137.889999,0.014408,0.000233
57,BCH,19.42,0.013701,0.000237
58,SQM,93.75,0.017348,0.000395
59,RCON,1.01,0.061388,0.00162
60,SBUX,101.965897,0.041593,0.00099
61,CRAI,115.150002,0.022084,0.000368
62,DHIL,189.020004,0.040564,0.001064
63,WSR,9.545,0.014209,6.4e-05
64,MOG-A,84.610001,0.018817,0.000377
65,ANAC,10.05,0.003424,2.5e-05
66,SRDX,35.98,0.023041,0.000447
67,EVER,11.45,0.037011,0.000424
68,HQCL,9.83,0.03915,0.000348
69,HOFT,17.5,0.020372,0.000285
70,VLGEA,23.7701,0.022085,0.000418
71,MCHP,76.449997,0.042445,0.001022
72,SBHGF,18.5,0.035016,0.000373
73,CWBC,14.781,0.028178,0.000486
74,DGII,40.251999,0.025578,0.000472
75,TCTZF,40.174,0.020445,0.000637
76,GILD,87.860001,0.040721,0.000938
77,ESMC,0.08,0.073606,0.002256
78,CECE,12.19,0.037216,0.000745
79,BANR,66.25,0.022,0.000235
80,CCBG,33.119999,0.019575,0.000311
81,MATR,2.675,0.038494,0.00021
82,RADA,9.87,0.043617,0.000886
83,CMC,47.900002,0.017747,0.000393
84,CTR,28.219999,0.019426,-5.5e-05
85,MMSI,73.449997,0.028658,0.000689
86,CLVS,0.188,0.046439,0.000317
